ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
201,1,-7.21151e-05,1.0121417e-05,9.393128e-05,0.00034943162,0.00014505937,-4.966868e-05
202,1,-1.4362454e-05,-0.00011435572,6.418553e-05,-4.1380335e-05,0.00010067666,-4.2996537e-05
203,1,6.685002e-05,2.9478755e-05,2.900902e-05,0.00028905645,0.00010355349,-1.7559121e-05
204,1,5.217267e-05,-0.00027034854,0.00017711753,3.415675e-05,0.00022345014,-3.4950557e-07
205,1,-6.670385e-05,7.995326e-05,0.00017646432,-0.0005424792,0.00020902407,-2.024736e-05
206,1,-1.0308517e-05,-0.00020140094,0.00016136644,0.00042464357,0.00018232409,-4.1471114e-05
207,1,-1.078029e-05,-0.00012138882,0.00013948175,-0.0006335231,0.00015356892,-5.0897914e-05
208,1,-7.972231e-05,7.069113e-06,0.00011478822,0.0003700167,0.00012648678,-5.4842993e-05
209,1,-2.1196694e-05,-0.000119338874,8.579757e-05,-2.0439851e-05,0.00011264378,-4.3393426e-05
210,1,5.5010863e-05,2.1540842e-05,5.4992623e-05,0.00029170956,0.00011455758,-1.6395741e-05
211,1,4.5501994e-05,-0.00027771166,0.00020767278,1.9581661e-05,0.0001317455,-1.5047143e-05
212,1,-7.046478e-05,7.859202e-05,0.00018951453,-0.00053351553,0.00012796737,-3.0425716e-05
213,1,-1.1318778e-05,-0.0002025931,0.00017275543,0.00044303318,0.0001221389,-3.687324e-05
214,1,-1.4766981e-05,-0.00012150691,0.00015161457,-0.0006134345,0.000109629174,-4.5954184e-05
215,1,-8.328891e-05,5.282391e-06,0.00012624792,0.00039412503,9.362775e-05,-4.48218e-05
216,1,-2.5478226e-05,-0.00012315834,0.00010156275,-4.7642984e-06,9.045847e-05,-3.5259553e-05
217,1,4.8182723e-05,1.4408085e-05,8.3042e-05,0.00029864992,0.00011113087,-1.3728679e-05
218,1,5.213997e-05,-0.00027835844,0.00020482333,3.7622733e-05,6.354596e-05,-5.7633943e-06
219,1,-6.822857e-05,7.404304e-05,0.00019776962,-0.0005222695,6.59896e-05,-1.7535445e-05
220,1,-1.4157838e-05,-0.00020264937,0.00017962833,0.00044587115,6.0026694e-05,-2.4094757e-05
221,1,-1.6378794e-05,-0.00012161281,0.00015745305,-0.00059273833,5.3390013e-05,-2.5809833e-05
222,1,-8.458474e-05,3.7188554e-06,0.00013369051,0.00040604026,4.9822065e-05,-2.5257046e-05
223,1,-2.786043e-05,-0.00012516187,0.000112182206,8.17681e-06,5.058077e-05,-1.9400706e-05
224,1,4.2753058e-05,9.08778e-06,9.426471e-05,0.0003009416,5.9137466e-05,-7.488128e-06
225,1,4.7600563e-05,-0.0002800103,0.00020997298,2.2962944e-05,-8.8590255e-08,1.0114713e-08
226,1,-7.076851e-05,7.470176e-05,0.00019950517,-0.0005232323,-5.010968e-08,2.1664565e-08
227,1,-1.30245135e-05,-0.00020375446,0.00018171806,0.000455403,-2.8572622e-08,4.772428e-08
228,1,-1.6616814e-05,-0.00012136026,0.00015933985,-0.00059082743,-1.4170609e-08,4.0009105e-08
229,1,-8.539502e-05,3.0454553e-06,0.00013621194,0.00041226938,1.6500302e-08,5.8784654e-08
230,1,-2.874816e-05,-0.00012601085,0.00011522789,1.1595125e-05,4.4162906e-08,2.8082209e-08
231,1,4.216731e-05,7.583685e-06,0.000103758524,0.00030292376,7.983174e-08,2.4298771e-08
232,1,5.2146934e-05,-0.00027839383,0.00020481665,3.7653095e-05,-6.3638705e-05,5.79653e-06
233,1,-6.822753e-05,7.4070966e-05,0.00019776466,-0.00052234536,-6.6092e-05,1.758121e-05
234,1,-1.4158938e-05,-0.00020265278,0.00017962477,0.00044592933,-6.0088147e-05,2.4181838e-05
235,1,-1.6375488e-05,-0.00012161233,0.00015745129,-0.0005927989,-5.3414224e-05,2.5894937e-05
236,1,-8.458794e-05,3.7253747e-06,0.0001336893,0.00040606398,-4.9790633e-05,2.5368012e-05
237,1,-2.7858792e-05,-0.00012516425,0.00011218095,8.147415e-06,-5.0494305e-05,1.9460096e-05
238,1,4.274944e-05,9.093491e-06,9.4262214e-05,0.00030094341,-5.8991332e-05,7.5284443e-06
239,1,4.5515982e-05,-0.00027778337,0.00020766481,1.9635123e-05,-0.00013190032,1.5052043e-05
240,1,-7.046544e-05,7.8648955e-05,0.00018950447,-0.0005336739,-0.00012805265,3.0480642e-05
241,1,-1.1320686e-05,-0.00020260003,0.00017274871,0.00044315684,-0.00012218987,3.6946978e-05
242,1,-1.4760294e-05,-0.00012150531,0.00015161018,-0.00061356457,-0.00010965622,4.6044683e-05
243,1,-8.329591e-05,5.2970163e-06,0.00012624549,0.00039417922,-9.359575e-05,4.49182e-05
244,1,-2.5474612e-05,-0.00012316466,0.00010156023,-4.828252e-06,-9.037719e-05,3.5327583e-05
